query_id,metric,value,epsilon,mechanism
1,P@10,0.0,50,Mahalanobis
1,R@100,0.012658227848101266,50,Mahalanobis
1,nDCG@10,0.0,50,Mahalanobis
2,P@10,0.4,50,Mahalanobis
2,R@100,0.16831683168316833,50,Mahalanobis
2,nDCG@10,0.37004428214682733,50,Mahalanobis
3,P@10,0.3,50,Mahalanobis
3,R@100,0.07734806629834254,50,Mahalanobis
3,nDCG@10,0.18925045943329133,50,Mahalanobis
4,P@10,0.2,50,Mahalanobis
4,R@100,0.13333333333333333,50,Mahalanobis
4,nDCG@10,0.22400556151517553,50,Mahalanobis
5,P@10,0.0,50,Mahalanobis
5,R@100,0.0,50,Mahalanobis
5,nDCG@10,0.0,50,Mahalanobis
6,P@10,0.1,50,Mahalanobis
6,R@100,0.010638297872340425,50,Mahalanobis
6,nDCG@10,0.22009176629808017,50,Mahalanobis
7,P@10,0.6,50,Mahalanobis
7,R@100,0.22608695652173913,50,Mahalanobis
7,nDCG@10,0.3482095134374321,50,Mahalanobis
8,P@10,0.2,50,Mahalanobis
8,R@100,0.14285714285714285,50,Mahalanobis
8,nDCG@10,0.28371255449703187,50,Mahalanobis
9,P@10,0.1,50,Mahalanobis
9,R@100,0.008695652173913044,50,Mahalanobis
9,nDCG@10,0.05502294157452004,50,Mahalanobis
10,P@10,0.0,50,Mahalanobis
10,R@100,0.0,50,Mahalanobis
10,nDCG@10,0.0,50,Mahalanobis
11,P@10,0.4,50,Mahalanobis
11,R@100,0.12612612612612611,50,Mahalanobis
11,nDCG@10,0.2676271583875319,50,Mahalanobis
12,P@10,0.3,50,Mahalanobis
12,R@100,0.01171875,50,Mahalanobis
12,nDCG@10,0.15758127523849183,50,Mahalanobis
13,P@10,0.2,50,Mahalanobis
13,R@100,0.25,50,Mahalanobis
13,nDCG@10,0.11985872861000964,50,Mahalanobis
14,P@10,0.1,50,Mahalanobis
14,R@100,0.09523809523809523,50,Mahalanobis
14,nDCG@10,0.058844132790466304,50,Mahalanobis
15,P@10,0.2,50,Mahalanobis
15,R@100,0.08888888888888889,50,Mahalanobis
15,nDCG@10,0.121825078691301,50,Mahalanobis
16,P@10,0.6,50,Mahalanobis
16,R@100,0.1836734693877551,50,Mahalanobis
16,nDCG@10,0.5608832408213127,50,Mahalanobis
17,P@10,0.0,50,Mahalanobis
17,R@100,0.0,50,Mahalanobis
17,nDCG@10,0.0,50,Mahalanobis
18,P@10,0.1,50,Mahalanobis
18,R@100,1.0,50,Mahalanobis
18,nDCG@10,0.43067655807339306,50,Mahalanobis
19,P@10,0.0,50,Mahalanobis
19,R@100,0.0,50,Mahalanobis
19,nDCG@10,0.0,50,Mahalanobis
20,P@10,0.3,50,Mahalanobis
20,R@100,0.13793103448275862,50,Mahalanobis
20,nDCG@10,0.17244657047415124,50,Mahalanobis
21,P@10,0.6,50,Mahalanobis
21,R@100,0.3,50,Mahalanobis
21,nDCG@10,0.4996805452188857,50,Mahalanobis
22,P@10,0.8,50,Mahalanobis
22,R@100,0.15714285714285714,50,Mahalanobis
22,nDCG@10,0.5864305367450019,50,Mahalanobis
23,P@10,0.7,50,Mahalanobis
23,R@100,0.31645569620253167,50,Mahalanobis
23,nDCG@10,0.39427486044279786,50,Mahalanobis
24,P@10,0.8,50,Mahalanobis
24,R@100,0.34615384615384615,50,Mahalanobis
24,nDCG@10,0.6356249416863219,50,Mahalanobis
25,P@10,0.0,50,Mahalanobis
25,R@100,0.125,50,Mahalanobis
25,nDCG@10,0.0,50,Mahalanobis
26,P@10,0.4,50,Mahalanobis
26,R@100,0.14893617021276595,50,Mahalanobis
26,nDCG@10,0.2736991811496751,50,Mahalanobis
27,P@10,0.5,50,Mahalanobis
27,R@100,0.3103448275862069,50,Mahalanobis
27,nDCG@10,0.2173149287966381,50,Mahalanobis
28,P@10,0.0,50,Mahalanobis
28,R@100,0.0,50,Mahalanobis
28,nDCG@10,0.0,50,Mahalanobis
29,P@10,0.0,50,Mahalanobis
29,R@100,0.023255813953488372,50,Mahalanobis
29,nDCG@10,0.0,50,Mahalanobis
30,P@10,0.1,50,Mahalanobis
30,R@100,0.03636363636363636,50,Mahalanobis
30,nDCG@10,0.05502294157452004,50,Mahalanobis
31,P@10,0.4,50,Mahalanobis
31,R@100,0.13043478260869565,50,Mahalanobis
31,nDCG@10,0.456899187845258,50,Mahalanobis
32,P@10,0.8,50,Mahalanobis
32,R@100,0.11895161290322581,50,Mahalanobis
32,nDCG@10,0.42271283021080086,50,Mahalanobis
33,P@10,0.1,50,Mahalanobis
33,R@100,0.0625,50,Mahalanobis
33,nDCG@10,0.06943122193677727,50,Mahalanobis
34,P@10,0.1,50,Mahalanobis
34,R@100,0.22580645161290322,50,Mahalanobis
34,nDCG@10,0.07336392209936005,50,Mahalanobis
35,P@10,0.9,50,Mahalanobis
35,R@100,0.13653136531365315,50,Mahalanobis
35,nDCG@10,0.45260581781522463,50,Mahalanobis
36,P@10,0.1,50,Mahalanobis
36,R@100,0.007874015748031496,50,Mahalanobis
36,nDCG@10,0.06625422345438903,50,Mahalanobis
37,P@10,0.3,50,Mahalanobis
37,R@100,0.28859060402684567,50,Mahalanobis
37,nDCG@10,0.12309285273278041,50,Mahalanobis
38,P@10,0.0,50,Mahalanobis
38,R@100,0.01182033096926714,50,Mahalanobis
38,nDCG@10,0.0,50,Mahalanobis
39,P@10,0.0,50,Mahalanobis
39,R@100,0.0031545741324921135,50,Mahalanobis
39,nDCG@10,0.0,50,Mahalanobis
40,P@10,0.2,50,Mahalanobis
40,R@100,0.11913357400722022,50,Mahalanobis
40,nDCG@10,0.2674859484828555,50,Mahalanobis
41,P@10,1.0,50,Mahalanobis
41,R@100,0.13402061855670103,50,Mahalanobis
41,nDCG@10,0.8202957064515055,50,Mahalanobis
42,P@10,0.8,50,Mahalanobis
42,R@100,0.058823529411764705,50,Mahalanobis
42,nDCG@10,0.5335367251808844,50,Mahalanobis
43,P@10,0.2,50,Mahalanobis
43,R@100,0.02564102564102564,50,Mahalanobis
43,nDCG@10,0.1244541635112973,50,Mahalanobis
44,P@10,0.7,50,Mahalanobis
44,R@100,0.060092449922958396,50,Mahalanobis
44,nDCG@10,0.3500474841512528,50,Mahalanobis
45,P@10,0.0,50,Mahalanobis
45,R@100,0.00641025641025641,50,Mahalanobis
45,nDCG@10,0.0,50,Mahalanobis
46,P@10,0.0,50,Mahalanobis
46,R@100,0.0,50,Mahalanobis
46,nDCG@10,0.0,50,Mahalanobis
47,P@10,0.3,50,Mahalanobis
47,R@100,0.06027397260273973,50,Mahalanobis
47,nDCG@10,0.31488013066763093,50,Mahalanobis
48,P@10,0.6,50,Mahalanobis
48,R@100,0.1935483870967742,50,Mahalanobis
48,nDCG@10,0.48882922182497546,50,Mahalanobis
49,P@10,0.7,50,Mahalanobis
49,R@100,0.2054794520547945,50,Mahalanobis
49,nDCG@10,0.5495919008433187,50,Mahalanobis
50,P@10,0.5,50,Mahalanobis
50,R@100,0.076158940397351,50,Mahalanobis
50,nDCG@10,0.3372950212597301,50,Mahalanobis
